"KF vs EKF en una línea","Misma maquinaria; el EKF linealiza h(x) en el estado actual: H = ∂h/∂x es la foto local (0.2)","GNSS::M7::7.2"
"Las dos filas de H por satélite","Código: (−u, 0, 1, 0) sobre (p,v,cδt,cδṫ) · Doppler: (0, −u, 0, 1)","GNSS::M7::7.2"
"¿Cómo se convierte el Doppler en rango-rate?","ρ̇ = −λ₁·D1X (λ₁=19.03 cm; Doppler positivo = acercándose)","GNSS::M7::7.2"
"¿De dónde sale la velocidad del satélite?","Derivada centrada (±0.5 s) del propagador broadcast de la 1.3 — ya en ECEF (la rotación vive en el término −ω⊕ de Ω)","GNSS::M7::7.2"
"El reloj real de LPGS: deriva y saltos","Deriva −196 m/s (−0.65 µs/s) → acumula 1 ms cada ~25 min → el firmware resetea: los códigos saltan ±299 792 m","GNSS::M7::7.2"
"¿Cómo se detecta el salto de ms y a qué estado va?","Innovación mediana de los códigos ≈ k·c·1ms → se suma a cδt (jamás a posición); el Doppler ni se entera (viene de fase)","GNSS::M7::7.2"
"¿Por qué el EKF se inicializa con un GN?","La corrección del EKF es UN paso de GN: desde el centro de la Tierra necesita la iteración completa; después continúa solo","GNSS::M7::7.2"
"Resultado [A] de referencia","GN 8.6 m → EKF 1.21 m medio (mejor que LSQ 1.95), |v| 20 mm/s, deriva −196.126 m/s","GNSS::M7::7.2"
"¿Qué pasa con 3 satélites?","El EKF sigue dando fix (LSQ ni eso) pero una dirección queda inobservable: 395 km de error real a los 30 min","GNSS::M7::7.2"
"¿Qué es la overconfidence del filtro?","P dice 135 m cuando el error es 395 km (×2900): P mide la incertidumbre DEL MODELO, no la del mundo — por eso existe mod5","GNSS::M7::7.2"
"Diagnóstico Doppler que valida el modelo","En la posición verdadera, residuo modo común −195.99 m/s (la deriva) con spread 0.012 m/s (el ruido)","GNSS::M7::7.2"
"¿Qué observable mide velocidad con mm/s y por qué?","El Doppler: spread 1.2 cm/s por satélite ÷ √N y promediado → mm/s; la fila (0,−u,0,1) lo inyecta directo","GNSS::M7::7.2"
