"¿Cómo modela el reloj el mensaje broadcast?","Polinomio de grado 2: δt(t)=af0+af1(t−toc)+af2(t−toc)². af0 sesgo, af1 deriva, af2 envejecimiento, referidos a toc","GNSS::B4::4.3"
"¿Cuánto vale 1 ns de error de reloj en rango?","~30 cm (1 ns × c). El reloj entra 1:1 en el rango, por eso es un término dominante del SISRE junto con la radial","GNSS::B4::4.3"
"Reloj broadcast vs CLK preciso","Broadcast: af0/af1/af2, error ~ns/~metro, re-emitido cada ~10 min. CLK preciso: ~0.1 ns cada 30 s, calculado por red global. Ninguno incluye la relatividad periódica","GNSS::B4::4.3"
"¿Qué mide la desviación de Allan σy(τ)?","La estabilidad de frecuencia de un reloj a un tiempo de promediado τ: cuán parejo tictaquea. Menor σy = reloj más estable = menos correcciones necesarias","GNSS::B4::4.3"
"RAFS vs PHM en Galileo","RAFS: rubidio. PHM: máser pasivo de hidrógeno, ~10× más estable a mediano plazo → suele ser el reloj primario. Galileo fue pionero en volar PHM operativos","GNSS::B4::4.3"
"Resultado 4.3 (día 166, Galileo)","30 satélites; error broadcast−preciso mediana 1.75 m; estabilidad se separa en dos familias con razón ~×11.6 (PHM más estable, RAFS menos)","GNSS::B4::4.3"
"¿Por qué el reloj es tan crítico para el rango?","El rango es tiempo de vuelo × c: 1 ns de error = 30 cm. Ignorar af0 (que puede ser cientos de km) arruina la posición del satélite","GNSS::B4::4.3"
"¿Diferencia entre error absoluto y estabilidad del reloj?","El bias absoluto se corrige con af0. La estabilidad es cuán predecible es su evolución: un reloj estable se modela bien y necesita menos actualizaciones","GNSS::B4::4.3"
"¿Por qué el reloj broadcast se re-emite cada ~10 min?","Para mantener el error de reloj bajo ~1-2 m: con σy~1e-11 el reloj deriva ~1.8 m en 600 s, así que hay que refrescar el polinomio seguido","GNSS::B4::4.3"
"¿Cuánto gana el PPP usando relojes precisos?","El CLK (~0.1 ns) es ~60× mejor que el broadcast (~6 ns). Con código igual manda el ruido/multipath (7.4); con fase el reloj preciso sí rinde a cm","GNSS::B4::4.3"
