"El patrón leave-one-out con fallo único","El subconjunto SIN el culpable se desploma (1663→8.3); los demás retienen el fallo (~1500)","GNSS::M5::5.2"
"¿Por qué exigir separación además del mínimo?","Sin separación (2º/1º > 3) el ruido puede señalar inocentes: mínimo a secas no es identificación","GNSS::M5::5.2"
"La trampa del inocente (fila E30)","Excluir un sat SANO puede bajar T (542) y DISPARAR el error (83 m): la geometría contenía el daño","GNSS::M5::5.2"
"Los tres pasos del FDE","Detectar (T>umbral) → identificar (subconjuntos+separación) → excluir y VERIFICAR (T y err nominales, dof nuevo)","GNSS::M5::5.2"
"Costos medidos: detectar vs identificar","Detectar desde 4 m; identificar confiable desde 10 m — señalar cuesta más que gritar","GNSS::M5::5.2"
"¿Qué patrón delata fallo múltiple?","Ningún subconjunto simple se desploma: la hipótesis de fallo único está rota → ARAIM/degradar","GNSS::M5::5.2"
"Combinatoria de fallos múltiples","C(8,2)=28, C(12,3)=220 subconjuntos: el costo explota — motivación computacional de ARAIM","GNSS::M5::5.2"
"Caso SVN-23 (2004)","Reloj degradado ~3 h antes del flag del sistema: FDE de receptor detectó/excluyó; sin RAIM = km de error","GNSS::M5::5.2"
"¿Por qué re-calcular el umbral post-exclusión?","El dof cambió (n−1 sats): validar con el umbral viejo es comparar peras con χ² de manzanas","GNSS::M5::5.2"
"Política de re-admisión","Con histéresis (tiempo/épocas limpias mínimas): sin ella el FDE cicla excluye-readmite al ritmo del ruido","GNSS::M5::5.2"
