"¿Qué es un protection level (PL)?","Cota estadística del error de posición que el receptor calcula en tiempo real; garantiza (a un riesgo dado) que el error real es menor","GNSS::B2::5.3"
"¿Cuándo está disponible una operación crítica?","Cuando PL < AL (HPL<HAL y VPL<VAL). Si PL≥AL el receptor se declara no disponible","GNSS::B2::5.3"
"Exactitud vs integridad","Exactitud: qué tan cerca de la verdad en promedio. Integridad: la garantía de que el error no supera un límite sin avisar. En apps críticas integridad > exactitud","GNSS::B2::5.3"
"Las 4 palabras de la integridad","Exactitud, integridad, continuidad (sin cortes) y disponibilidad (fracción de tiempo útil)","GNSS::B2::5.3"
"¿Qué es el slope en RAIM?","El error de posición por unidad de estadístico de test: slope_H,i=‖S[:2,i]‖/√(1-Pii). El máximo (peor satélite) fija el HPL","GNSS::B2::5.3"
"¿Qué es el pbias?","√λ, la no-centralidad chi2 que hace detectar un fallo con probabilidad PMD al umbral que fija PFA. Es el fallo mínimo detectable en unidades de σ","GNSS::B2::5.3"
"¿Por qué el VPL casi siempre supera al HPL?","La geometría vertical es más débil (todos los satélites están arriba → VDOP>HDOP). La vertical es la que limita las aproximaciones","GNSS::B2::5.3"
"¿Puede el error real superar al PL?","Sí, pero solo con probabilidad ≤ el riesgo de integridad de diseño (p.ej. 1e-7). El PL es una cota estadística, no un máximo absoluto","GNSS::B2::5.3"
"¿Qué es LPV-200?","Aproximación con guía vertical: HAL=40 m, VAL=35 m. Habilitada por SBAS/EGNOS en aeropuertos sin ILS","GNSS::B2::5.3"
"¿Qué agrega SBAS/EGNOS al protection level?","Correcciones (exactitud) y parámetros de confianza por satélite (los σ), que afinan el PL y lo hacen certificable para aviación","GNSS::B2::5.3"
"¿Por qué 'no disponible' es una respuesta segura?","Porque dar una posición cuyo error no se puede acotar es peligroso. Integridad prioriza no engañar sobre siempre responder","GNSS::B2::5.3"
