"Las 5 ecuaciones del KF en orden","x⁻=Fx · P⁻=FPFᵀ+Q · K=P⁻Hᵀ(HP⁻Hᵀ+R)⁻¹ · x=x⁻+K(z−Hx⁻) · P=(I−KH)P⁻","GNSS::M7::7.1"
"¿Qué representan Q y R?","Q: desconfianza en la dinámica (ruido de proceso). R: desconfianza en la medición. La ganancia K arbitra entre ambas","GNSS::M7::7.1"
"KF de una constante con Q=0","Es el promedio recursivo: K_n=1/n y la varianza cae como σ²/n","GNSS::M7::7.1"
"¿Qué es la innovación y qué propiedad debe tener?","y = z − Hx⁻ (la sorpresa). Si el modelo está bien: blanca, media 0, covarianza HP⁻Hᵀ+R","GNSS::M7::7.1"
"¿Qué delata ρ(1)>0 en las innovaciones?","Filtro atrasado: Q demasiado chico o dinámica sin modelar (sobre-suavizado)","GNSS::M7::7.1"
"¿Qué NO arregla un KF?","El sesgo (converge al promedio, corrido y todo) y el error correlacionado (promediarlo = mentir)","GNSS::M7::7.1"
"Modelo velocidad constante: F y Q","F=[[1,dt],[0,1]] · Q=σa²[[dt⁴/4,dt³/2],[dt³/2,dt²]] (aceleración blanca)","GNSS::M7::7.1"
"Serie real 1.5 filtrada: ¿cuánto baja el scatter y por qué no más?","~×2 (U: 1.50→0.65 m): el resto es error correlacionado (iono/multipath, τ~5 min), no ruido blanco","GNSS::M7::7.1"
"En estático, ¿qué velocidad estima el KF y qué valida eso?","≈0 (mm/s): el estado extra no inventa movimiento si Q está bien puesto","GNSS::M7::7.1"
"¿Qué pasa con P durante un hueco de mediciones?","Crece con cada predicción (la duda se acumula) → al volver el dato, K sale grande y re-engancha","GNSS::M7::7.1"
"Caso 1961: ¿dónde debutó el KF?","Navegación del programa Apollo (Schmidt, NASA Ames) — y de paso nació el EKF porque la dinámica orbital es no lineal","GNSS::M7::7.1"
"¿Por qué el KF habilita la fusión GNSS+INS?","Porque fusionar = alternar correcciones de sensores distintos sobre el MISMO estado con sus R respectivos (7.5)","GNSS::M7::7.1"
