"¿De dónde sale el DOP?","De la covarianza de mínimos cuadrados: cov = σ²·(GᵀG)⁻¹ = σ²·Q. El DOP son raíces de trazas parciales de Q. Solo depende de la GEOMETRÍA.","GNSS::M1::1.4 concepto"
"Definí GDOP, PDOP y TDOP","GDOP=√tr(Q) (todo); PDOP=√(Q11+Q22+Q33) (posición 3D); TDOP=√Q44 (reloj).","GNSS::M1::1.4 formula"
"Identidad de los DOP","GDOP² = PDOP² + TDOP². Y en ENU: PDOP² = HDOP² + VDOP². La traza se parte donde quieras.","GNSS::M1::1.4 formula"
"¿Cómo se calculan HDOP y VDOP?","Rotando el bloque de posición de Q a ENU: Q_enu = R·Q₃ₓ₃·Rᵀ. HDOP=√(Qee+Qnn), VDOP=√Quu. NUNCA directo de la diagonal ECEF.","GNSS::M1::1.4 formula"
"¿Por qué VDOP > HDOP siempre?","Los satélites solo están sobre el horizonte: la vertical se observa desde un solo semiespacio, nada 'sostiene desde abajo'. Típico: 1.5–2×.","GNSS::M1::1.4 concepto"
"¿Qué predice el DOP y con qué fórmula?","El error de posición: error ≈ DOP × σ_UERE. Verificado por Monte Carlo en el lab: cociente 1.00.","GNSS::M1::1.4 concepto"
"¿Puede el DOP ser < 1?","Sí: con redundancia (muchos sats bien repartidos) el promediado deja el error por debajo del ruido de un rango. En el lab: HDOP 0.88 con 10 sats.","GNSS::M1::1.4 concepto"
"La mejor geometría de 4 satélites","El tetraedro: 1 satélite alto (cénit) + 3 bajos repartidos ~120° en azimut. En el lab: GDOP 2.30.","GNSS::M1::1.4 intuicion"
"La peor geometría de 4 satélites","Líneas de vista casi coplanares: GᵀG casi singular, DOP→∞. En el lab: GDOP ~1204.","GNSS::M1::1.4 intuicion"
"Máscara de elevación: ¿subirla mejora?","Trade-off: limpia multicamino/atmósfera (baja σ) pero degrada geometría (sube DOP). En el lab: 10°→45° lleva PDOP de 1.56 a 7.83. Se decide por el producto DOP×σ.","GNSS::M1::1.4 concepto"
"¿Por qué multi-GNSS mejora tanto en cañón urbano?","La franja de cielo visible deja sats casi coplanares (alineados con la calle). Más constelaciones densifican esa franja → mejor condicionada GᵀG. Es geometría, no solo redundancia.","GNSS::M1::1.4 caso"
"Atajo para det(GᵀG) con G cuadrada","det(GᵀG) = det(G)². En el E1: det(G)=2.4 → det(GᵀG)=5.76. Ahorra la expansión 3×3.","GNSS::M1::1.4 formula"
